Product Name,Brand,Operating System,Price,Discount,Review,Ratings,Description
"realme NARZO N65 5G (Amber Gold 4GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box",realme,Android,"10,498.00",-0.25,4.1,"1,084",Brand   realme     Operating System   Android 14     RAM Memory Installed Size   4 GB     CPU Model   MediaTek Helio     Memory Storage Capacity   128 GB
"realme NARZO 70 Turbo 5G (Turbo Yellow, 8GB RAM, 128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",realme,Android,"17,998.00",-0.14,4.3,617,Brand   realme     Operating System   Android 14     RAM Memory Installed Size   8 GB     CPU Model   Others     Memory Storage Capacity   128 GB
"Samsung Galaxy M15 5G Prime Edition (Stone Grey,4GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",Samsung,Android,"10,999.00",-0.31,4.1,73,Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   4 GB     CPU Speed   2.2 GHz     Memory Storage Capacity   128 GB
"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",Redmi,Android,"13,499.00",-0.25,3.9,"1,645","Brand   Redmi     Operating System   Android 14, Xiaomi HyperOS     RAM Memory Installed Size   6 GB     CPU Model   Snapdragon     CPU Speed   2.3 GHz"
"OnePlus 12R (Cool Blue, 8GB RAM, 256GB Storage)",OnePlus,OxygenOS,"37,999.00",-0.12,4.3,"3,579",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   16 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
Motorola All-New A10 Dual Sim keypad Phone with Voice Feature | Long-Lasting Battery Backup | Wireless FM with Recording | Bluetooth Connectivity | Auto Call Recording | Teal Blue,Motorola,RTOS,"1,159.00",-0.25,3.9,"19,594",Brand   Motorola     Operating System   RTOS     RAM Memory Installed Size   0.03 GB     CPU Model   MediaTek Helio     Memory Storage Capacity   32 GB
"Samsung Galaxy M35 5G (Moonlight Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",Samsung,Android,"16,999.00",-0.35,4.1,"2,725",Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     CPU Speed   2.4 GHz
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)",OnePlus,OxygenOS,"16,399.00",-0.18,4.2,"51,070",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     CPU Speed   2.2 GHz
"realme NARZO N63 (Twilight Purple,4GB RAM+64GB Storage) 45W Fast Charge | 5000mAh Durable Battery | 7.74mm Ultra Slim | 50MP AI Camera | AI Boost",realme,Android,"7,199.00",-0.28,3.9,721,Brand   realme     Operating System   Android 14     RAM Memory Installed Size   4 GB     CPU Model   Snapdragon     Memory Storage Capacity   64 GB
"realme GT 6T 5G (Razor Green,8GB RAM+256GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M + AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",realme,Android,"32,999.00",-0.08,4.3,"1,994",Brand   realme     Operating System   Android 14     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
"realme NARZO 70 Turbo 5G (Turbo Purple,8GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",realme,Android,"17,998.00",-0.14,4.3,617,Brand   realme     Operating System   Android 14     RAM Memory Installed Size   8 GB     CPU Model   Others     Memory Storage Capacity   128 GB
"Samsung Galaxy M55s 5G (Thunder Black,8GB RAM,128GB Storage) | 50MP Triple Cam| 5000mAh Battery| Snapdragon 7 Gen 1 | 4 Gen. OS Upgrade & 5 Year Security Update| Super AMOLED+ Display| Without Charger",Samsung,Android,"19,999.00",-0.31,Previous,N/A,Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     CPU Speed   2.4 GHz
"realme GT 6T 5G (Fluid Silver,8GB RAM+256GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M + AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",realme,Android,"32,999.00",-0.08,4.3,"1,994",Brand   realme     Operating System   Android 14     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
